date,open,high,low,close,volume
2025-12-01,99.9309,101.3707,99.1699,101.0434,2404167
2025-12-02,101.554,101.9531,101.2873,101.6579,2650640
2025-12-03,100.6854,103.0821,100.4023,102.2006,6506676
2025-12-04,101.8213,102.1793,100.2923,101.3768,8066583
2025-12-05,100.6546,101.8409,100.5988,101.5644,6467903
2025-12-08,102.0455,102.194,100.0769,100.3959,4961372
2025-12-09,99.8649,100.832,99.2554,100.419,3805399
2025-12-10,101.0183,106.165,100.5729,106.0491,9296868
2025-12-11,105.8895,106.6723,105.4758,105.8568,8458637
2025-12-12,105.3908,105.9865,102.9894,103.0587,8219772
2025-12-15,103.3739,103.9068,101.2413,101.715,7941433
2025-12-16,101.3979,102.1625,100.7872,101.3444,1572025
2025-12-17,100.7382,101.1475,98.4803,99.1526,8984914
2025-12-18,99.115,99.5972,96.7577,97.1441,6051494
2025-12-19,97.9041,99.1865,96.724,97.1231,1228772
2025-12-22,97.6293,98.0704,94.4068,94.4158,3243630
2025-12-23,94.1711,97.6469,93.9349,97.2537,9367278
2025-12-24,97.8169,98.4041,97.6631,98.2777,2679130
2025-12-25,98.7537,99.1003,98.3563,98.5177,3051416
2025-12-26,98.3738,102.4185,98.2039,101.0766,2998970
2025-12-29,100.6712,100.7524,100.2315,100.4344,5669115
2025-12-30,101.1394,101.1488,97.7653,98.5903,3707904
2025-12-31,99.8045,99.9005,98.6094,98.7583,2304053
2026-01-01,98.7547,99.8606,98.1869,99.4789,7854576
2026-01-02,99.0266,101.8116,98.3325,101.1025,6701767
2026-01-05,101.1413,101.3909,98.9136,99.3723,2678666
2026-01-06,99.1222,100.3924,99.0882,99.6201,6806555
2026-01-07,99.1644,101.051,99.0847,100.7385,2237688
2026-01-08,100.5762,100.9853,98.6002,99.2108,8354999
2026-01-09,100.4703,102.132,100.3669,101.9666,9074941
2026-01-12,102.3652,103.1818,101.6894,102.5476,7533601
2026-01-13,103.1716,103.9831,102.7345,103.8656,1082773
2026-01-14,103.4946,105.5015,103.2494,104.5263,6867651
2026-01-15,104.0275,106.5126,103.4395,106.1141,7718422
2026-01-16,106.3331,108.6565,105.3246,108.2117,1843072
2026-01-19,107.7941,108.2677,105.1749,105.3011,6680247
2026-01-20,106.0664,106.2067,103.9479,105.3811,2757186
2026-01-21,105.896,105.9182,103.3332,103.4041,2593996
2026-01-22,103.7733,104.0188,102.9562,102.9937,9672579
2026-01-23,103.3939,103.9344,101.9385,102.1132,3852298
2026-01-26,101.4772,102.6903,101.2816,102.6015,6130550
2026-01-27,102.1865,103.6719,102.1602,103.1267,7666917
2026-01-28,103.6701,106.1382,103.184,105.4121,8284250
2026-01-29,105.5477,106.1194,105.0875,106.1067,5513646
2026-01-30,106.7091,107.8834,106.3616,107.3712,9010048
2026-02-02,106.5655,106.6534,104.5007,104.9499,1323480
2026-02-03,103.97,110.2378,103.1316,109.8608,1274502
2026-02-04,109.6769,110.5326,107.884,107.9533,2942389
2026-02-05,108.0702,108.0948,106.0837,106.4304,5865716
2026-02-06,106.8714,109.3941,106.6352,109.3858,3906608
2026-02-09,109.8521,110.2874,107.9308,107.9927,1228156
2026-02-10,108.8898,109.0718,106.2107,106.3797,3252186
2026-02-11,106.5951,110.8838,106.1059,110.1891,9593787
2026-02-12,111.0989,111.8359,110.0517,111.0756,3229578
2026-02-13,110.6826,114.1985,110.2539,113.9456,5267564
2026-02-16,113.4143,114.6962,113.3547,113.9583,4904664
2026-02-17,113.1434,117.9949,113.0695,117.7358,4371513
2026-02-18,119.118,119.3592,117.396,117.9325,2466409
2026-02-19,117.5785,118.5023,117.352,118.4609,9462072
2026-02-20,119.2194,119.5861,112.8212,114.0249,5910551
2026-02-23,114.3603,114.521,113.3816,113.7357,1640697
